year,huc8,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
1993,15030107,123487.4273406267,123367.4273406267,120,123487.4273406267,123367.4273406267,120,73738.62602734566,73475.82603955269,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73738.62608838081,73475.82603955269,262.7999877929688,123487.4273406267,123367.4273406267,120,0,0,0,1,1,1,,,,
1994,15030107,130380.5685223341,130246.5685223341,134,130380.5685223341,130246.5685223341,134,73738.62602734566,73475.82603955269,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73738.62608838081,73475.82603955269,262.7999877929688,130380.5685223341,130246.5685223341,134,0,0,0,1,1,1,,,,
1995,15030107,116993.5684456825,116864.5684456825,129,116993.5684456825,116864.5684456825,129,73738.62602734566,73475.82603955269,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73738.62608838081,73475.82603955269,262.7999877929688,116993.5684456825,116864.5684456825,129,0,0,0,1,1,1,,,,
1996,15030107,113695.6196368933,113559.6196368933,136,113695.6196368933,113559.6196368933,136,73738.62602734566,73475.82603955269,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73738.62608838081,73475.82603955269,262.7999877929688,113695.6196368933,113559.6196368933,136,0,0,0,1,1,1,,,,
1997,15030107,102117.5997618437,101987.5997618437,130,102117.5997618437,101987.5997618437,130,73738.62602734566,73475.82603955269,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73738.62608838081,73475.82603955269,262.7999877929688,102117.5997618437,101987.5997618437,130,0,0,0,1,1,1,,,,
1998,15030107,103021.5566953421,102886.5566953421,135,103021.5566953421,102886.5566953421,135,73738.62602734566,73475.82603955269,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73738.62608838081,73475.82603955269,262.7999877929688,103021.5566953421,102886.5566953421,135,0,0,0,1,1,1,,,,
1999,15030107,99865.54399526119,99741.54399526119,124,99865.54399526119,99741.54399526119,124,73738.62602734566,73475.82603955269,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73738.62608838081,73475.82603955269,262.7999877929688,99865.54399526119,99741.54399526119,124,0,0,0,1,1,1,,,,
2000,15030107,102818.5636279583,102694.5636279583,124,102818.5636279583,102694.5636279583,124,73738.62602734566,73475.82603955269,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73738.62608838081,73475.82603955269,262.7999877929688,102818.5636279583,102694.5636279583,124,0,0,0,1,1,1,,,,
2001,15030107,105155.5778406858,105023.5778406858,132,105155.5778406858,105023.5778406858,132,73738.62602734566,73475.82603955269,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73738.62608838081,73475.82603955269,262.7999877929688,105155.5778406858,105023.5778406858,132,0,0,0,1,1,1,,,,
2002,15030107,114434.5973354578,114306.5973354578,128,114434.5973354578,114306.5973354578,128,73738.62602734566,73475.82603955269,262.7999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73738.62608838081,73475.82603955269,262.7999877929688,114434.5973354578,114306.5973354578,128,0,0,0,1,1,1,,,,
